	summarized	lineages	abundances	resid	coverage
ERR5014686.fastq	[('Other', 0.9999999999941555)]	B.1.1.161 B.12 B.23 B.27 B.1.14 B	0.99461400 0.00107720 0.00107720 0.00107720 0.00107720 0.00107720	0.18795448696913095	60.13723849372385
ERR5019821.fastq	[('Other', 0.9999999999995122)]	B.1.1.161 B.3.1 B.3	0.87609300 0.06195350 0.06195350	0.23588581057967056	60.13723849372385
ERR5014641.fastq	[('Other', 0.9999999999941183)]	B.1.1.161 B.12 B.23 B.27 B.1.14 B	0.99425300 0.00114940 0.00114940 0.00114940 0.00114940 0.00114940	0.187886267971851	60.13723849372385
ERR5019800.fastq	[('Other', 0.999999999999817)]	B.12 B.23 B.27 B.1.14 B	0.20000000 0.20000000 0.20000000 0.20000000 0.20000000	0.1982777362513081	60.13723849372385
ERR5019797.fastq	[('Other', 0.9999999999967141)]	B.1.1.161 B.12 B.23 B.27 B.1.14 B	0.98816600 0.00236680 0.00236680 0.00236680 0.00236680 0.00236680	0.18673599363006926	60.13723849372385
ERR5014660.fastq	[('Other', 0.9999999999989555)]	B.12 B.23 B.27 B.1.14 B	0.20000000 0.20000000 0.20000000 0.20000000 0.20000000	0.18710996979663747	60.13723849372385
ERR5014691.fastq	[('Other', 0.9999999999748134)]	B.1.1.161 B.12 B.23 B.27 B.1.14 B	0.99230800 0.00153840 0.00153840 0.00153840 0.00153840 0.00153840	0.00010053328694211676	60.13723849372385
ERR5019766.fastq	[('Other', 0.9999999999958842)]	B.1.1.161 B.12 B.23 B.27 B.1.14 B	0.98920900 0.00215820 0.00215820 0.00215820 0.00215820 0.00215820	0.18693309173098002	60.13723849372385
ERR5014700.fastq	[('Other', 0.9999999999989615)]	B.12 B.23 B.27 B.1.14 B	0.20000000 0.20000000 0.20000000 0.20000000 0.20000000	0.18816405723990823	60.13723849372385
ERR5019842.fastq	[('Other', 0.9999999999978845)]	B.1.1.161 B.12 B.23 B.27 B.1.14 B	0.98461500 0.00307700 0.00307700 0.00307700 0.00307700 0.00307700	0.000632868207502747	60.13723849372385
ERR5019816.fastq	[('Other', 0.9999999999850215)]	B.1.1.161 B.12 B.23 B.27 B.1.14 B	0.98433400 0.00313320 0.00313320 0.00313320 0.00313320 0.00313320	0.3301921634166055	60.13723849372385
ERR5019781.fastq	[('Other', 1.0000000000005198)]	B.1.1.301 B.1.1.514 C.36 C.14 C.25 C.27 C.35 B.1.1.1 B.1.1.372 B.12 B.23 B.27 B.1.14 B	0.24884700 0.24884700 0.06947771 0.06947771 0.06947771 0.06947771 0.06947771 0.06947771 0.06947771 0.00319240 0.00319240 0.00319240 0.00319240 0.00319240	1.1346031687330982	60.13723849372385
ERR5014676.fastq	[('Other', 0.999999999998626)]	B.12 B.23 B.27 B.1.14 B	0.20000000 0.20000000 0.20000000 0.20000000 0.20000000	0.19034954022033435	60.13723849372385
ERR5019837.fastq	[('Other', 0.9999999999974657)]	B.1.1.161 B.12 B.23 B.27 B.1.14 B	0.98684200 0.00263160 0.00263160 0.00263160 0.00263160 0.00263160	0.1851998378711047	60.13723849372385
ERR5014657.fastq	[('Other', 0.9999999999942326)]	B.1.1.161 B.12 B.23 B.27 B.1.14 B	0.99311900 0.00137620 0.00137620 0.00137620 0.00137620 0.00137620	0.18767197339294378	60.13723849372385
ERR5014638.fastq	[('Other', 0.9999999999910569)]	B.1.1.161 B.12 B.23 B.27 B.1.14 B	0.99348500 0.00130300 0.00130300 0.00130300 0.00130300 0.00130300	0.0002365933171261065	60.13723849372385
ERR5014634.fastq	[('Other', 0.9999999999941244)]	B.1.1.161 B.12 B.23 B.27 B.1.14 B	0.99390200 0.00121960 0.00121960 0.00121960 0.00121960 0.00121960	0.18781993869745375	60.13723849372385
ERR5014687.fastq	[('Other', 0.9999999999977747)]	B.1.1.161	1.00000000	0.18897229172931512	60.13723849372385
ERR5014716.fastq	[('Other', 0.9999999999989566)]	B.12 B.23 B.27 B.1.14 B	0.20000000 0.20000000 0.20000000 0.20000000 0.20000000	0.1875776762186701	60.13723849372385
ERR5019770.fastq	[('Other', 0.9999999999995581)]	B.12 B.23 B.27 B.1.14 B	0.20000000 0.20000000 0.20000000 0.20000000 0.20000000	1.734538461638402e-12	60.13723849372385
ERR5014663.fastq	[('Other', 0.9999999999956312)]	B.1.1.161 B.12 B.23 B.27 B.1.14 B	0.98757800 0.00248440 0.00248440 0.00248440 0.00248440 0.00248440	0.0013946155177124043	60.13723849372385
ERR5019794.fastq	[('Other', 0.9999999999995581)]	B.12 B.23 B.27 B.1.14 B	0.20000000 0.20000000 0.20000000 0.20000000 0.20000000	1.734538461638402e-12	60.13723849372385
ERR5019769.fastq	[('Other', 0.9999999999665646)]	B.1.1.161 B.12 B.23 B.27 B.1.14 B	0.97979800 0.00404040 0.00404040 0.00404040 0.00404040 0.00404040	0.1851546735133637	60.13723849372385
ERR5019803.fastq	[('Other', 0.9999999999996534)]	B.12 B.23 B.27 B.1.14 B	0.20000000 0.20000000 0.20000000 0.20000000 0.20000000	0.18396741220124788	60.13723849372385
ERR5014642.fastq	[('Other', 0.9999999999941391)]	B.1.1.161 B.12 B.23 B.27 B.1.14 B	0.99447500 0.00110500 0.00110500 0.00110500 0.00110500 0.00110500	0.18792821982059887	60.13723849372385
ERR5019822.fastq	[('Other', 0.9999999999993632)]	B.12 B.23 B.27 B.1.14 B	0.20000000 0.20000000 0.20000000 0.20000000 0.20000000	0.10116752201064332	60.13723849372385
ERR5019841.fastq	[('Other', 0.9999999999995581)]	B.12 B.23 B.27 B.1.14 B	0.20000000 0.20000000 0.20000000 0.20000000 0.20000000	1.734538461638402e-12	60.13723849372385
ERR5019798.fastq	[('Other', 0.9999999999969389)]	B.1.1.161 B.1.1.301 B.1.1.514	0.60866400 0.19566800 0.19566800	0.252670785167489	60.13723849372385
ERR5019765.fastq	[('Other', 0.9999999999541522)]	B.1.1.161 B.12 B.23 B.27 B.1.14 B	0.97929000 0.00414200 0.00414200 0.00414200 0.00414200 0.00414200	0.0011034092571570481	60.13723849372385
ERR5014703.fastq	[('Other', 0.9999999999995581)]	B.12 B.23 B.27 B.1.14 B	0.20000000 0.20000000 0.20000000 0.20000000 0.20000000	1.734538461638402e-12	60.13723849372385
ERR5014692.fastq	[('Other', 0.9999999999944604)]	B.1.1.161 B.12 B.23 B.27 B.1.14 B	0.99227800 0.00154440 0.00154440 0.00154440 0.00154440 0.00154440	0.18751304769541755	60.13723849372385
ERR5014654.fastq	[('Other', 0.9999999999988914)]	B.1.1.301 B.1.1.514 C.36 C.14 C.25 C.27 C.35 B.1.1.1 B.1.1.372 B.12 B.23 B.27 B.1.14 B	0.26113450 0.26113450 0.06704514 0.06704514 0.06704514 0.06704514 0.06704514 0.06704514 0.06704514 0.00168300 0.00168300 0.00168300 0.00168300 0.00168300	1.1531020162002439	60.13723849372385
ERR5019834.fastq	[('Other', 0.9999999999709971)]	B.1.1.161 B.12 B.23 B.27 B.1.14 B	0.97865900 0.00426820 0.00426820 0.00426820 0.00426820 0.00426820	0.18493943407032398	60.13723849372385
ERR5014675.fastq	[('Other', 0.9999999999987639)]	B.1.1.161 B.12 B.23 B.27 B.1.14 B	0.98576500 0.00284700 0.00284700 0.00284700 0.00284700 0.00284700	0.1862822711561421	60.13723849372385
ERR5014688.fastq	[('Other', 0.999999999997176)]	B.12 B.23 B.27 B.1.14 B	0.20000000 0.20000000 0.20000000 0.20000000 0.20000000	0.30932798452209537	60.13723849372385
